"country","iso_3","PVCCI","Flood","Aridity","Rainfall","Temperature","Storms","Region"
"St. Vincent & the Grenadines","VCT",54.535834,35.1528587,40.3078899,64.4486631,82.6797451,31.9494295,"Latin America & Caribbean"
"Sudan","SDN",65.8626466,0,90.6796479,82.2764706,81.8365744,0,"SubSaharan Africa"
"Suriname","SUR",46.4996459,1.1068572,36.5966323,54.1222749,80.8784649,0,"Latin America & Caribbean"
"Swaziland","SWZ",51.9144705,0,54.0517448,74.1097028,69.304766,16.0801585,"SubSaharan Africa"
"Sweden","SWE",41.5933007,2.2037144,41.1161429,76.3730583,32.5138358,8.0390425,"Europe & Central Asia"
"Switzerland","CHE",46.7905707,43.818,43.3870728,63.0844068,56.255577,0,"Europe & Central Asia"
"Syria","SYR",59.5947382,0.0177143,80.7173429,81.806408,67.4543248,0,"MENA"
"Tajikistan","TJK",48.0049231,0,64.8610233,78.5238046,33.9031411,0,"Europe & Central Asia"
"Tanzania","TZA",51.4790161,0.2162857,50.1268413,71.2682268,75.2232567,0,"SubSaharan Africa"
"Thailand","THA",49.5044146,1.2114285,36.4118222,64.3461889,82.3671738,1.1677317,"East Asia Pacific"
"The Bahamas","BHS",65.0092956,44.1674271,38.4422869,67.6730083,78.969812,82.9855667,"Latin America & Caribbean"
"The Gambia","GMB",61.875642,3.7832856,85.2681162,69.9580845,83.4498466,0,"SubSaharan Africa"
"Timor-Leste","TLS",59.5303263,4.5050001,31.9896025,63.749248,78.2714241,80.531277,"South Asian"
"Togo","TGO",51.3925236,0.315,39.2207505,68.0409414,83.8929151,0,"SubSaharan Africa"
"Tonga","TON",62.4791611,59.2315712,40.786787,59.8959301,79.4065962,66.7334763,"East Asia Pacific"
"Trinidad & Tobago","TTO",52.0108268,10.7508574,36.9558769,63.0774063,81.8276629,37.0106356,"Latin America & Caribbean"
"Tunisia","TUN",61.076999,3.6194286,86.4788942,81.8818138,66.7507917,0,"MENA"
"Turkey","TUR",51.7798297,1.0124285,63.0665148,77.5656673,58.4030033,0,"Europe & Central Asia"
"Turkmenistan","TKM",57.5597958,0,85.9604108,83.6975468,46.5959106,0,"Europe & Central Asia"
"Tuvalu","TUV",64.8797996,100,33.2762336,43.3586211,84.617595,29.9921136,"East Asia Pacific"
"Uganda","UGA",52.5020514,0,49.0165191,69.6199495,80.8255559,0,"SubSaharan Africa"
"Ukraine","UKR",45.7812992,1.6331428,54.0176188,77.6458611,39.1176011,0,"Europe & Central Asia"
"United Arab Emirates","ARE",63.6654747,3.4400001,79.9300352,85.0706585,81.4174568,0,"MENA"
"United Kingdom","GBR",42.0646178,7.6761427,34.4401739,68.9428657,50.1639528,18.2365218,"Europe & Central Asia"
"United States","USA",57.0379715,45.44,49.8228033,75.4537779,59.6046734,49.7348563,"North America"
"Uruguay","URY",43.1234379,1.4365715,25.1533865,68.7448413,62.749858,0,"Latin America & Caribbean"
"Uzbekistan","UZB",57.0556494,0,87.8907599,83.058258,40.6604936,0,"Europe & Central Asia"
"Vanuatu","VUT",59.4851399,19.1477146,48.0100333,49.6688162,77.3979284,81.0146928,"East Asia Pacific"
"Venezuela","VEN",48.1749681,1.0614285,35.5548227,59.9618633,80.0391362,18.362389,"Latin America & Caribbean"
"Vietnam","VNM",48.9341979,10.478857,30.4204364,62.526222,77.4676454,32.0437932,"East Asia Pacific"
"Yemen","YEM",62.266732,0.9625714,81.081103,83.2648728,76.6656292,0,"MENA"
"Zambia","ZMB",51.7872697,0,49.6540226,71.2696319,76.5814869,0,"SubSaharan Africa"
"Zimbabwe","ZWE",57.9813599,0,76.899514,75.8665093,71.6928934,0.2388458,"SubSaharan Africa"
